"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
5	5	2000	0	0	348.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.168798449612403
11	5	2000	0	0	626.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.303633720930233
21	5	2000	0	0	762.1	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.369234496124031
41	5	2000	0	0	844.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.409302325581395
81	5	2000	0	0	1024.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.49641472868217
161	5	2000	0	0	1422.1	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.689001937984496
1	10	2000	0	0	108	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0523255813953488
2	10	2000	0	0	169.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0823158914728682
5	10	2000	0	0	281.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.136579457364341
11	10	2000	0	0	439.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.212936046511628
21	10	2000	0	0	611.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.296317829457364
41	10	2000	0	0	733.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.355329457364341
81	10	2000	0	0	857.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.415600775193798
161	10	2000	0	0	984.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.477083333333333
1	20	2000	0	0	86.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0420058139534884
2	20	2000	0	0	139.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0674903100775194
5	20	2000	0	0	231.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.112306201550388
11	20	2000	0	0	354.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.171802325581395
21	20	2000	0	0	460.1	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.222916666666667
41	20	2000	0	0	568.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.27562984496124
81	20	2000	0	0	722.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.349903100775194
161	20	2000	0	0	852.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.413178294573643
1	0	2000	0	1	134.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0650193798449612
2	0	2000	0	1	202.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0982073643410853
5	0	2000	0	1	277.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.134399224806202
11	0	2000	0	1	411.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.199370155038760
21	0	2000	0	1	504.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.244379844961240
41	0	2000	0	1	723.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.350678294573643
81	0	2000	0	1	802.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.389001937984496
161	0	2000	0	1	1151.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.557994186046512
1	0	2000	1	0	103.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.05
2	0	2000	1	0	181.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.087936046511628
